V,Pa,Pr,Pc
18.39999999999997,2943.9999999999955,41.660314147199806,2902.339685852796
18.49999999999997,2959.9999999999955,42.343256632031064,2917.6567433679643
18.59999999999997,2975.999999999995,43.033622332049795,2932.9663776679454
18.699999999999967,2991.9999999999945,43.73145137274353,2948.268548627251
18.79999999999997,3007.999999999995,44.43678387959978,2963.5632161203953
18.89999999999997,3023.9999999999955,45.14965997810605,2978.850340021889
18.999999999999968,3039.999999999995,45.87011979374978,2994.129880206245
19.099999999999966,3055.9999999999945,46.59820345201851,3009.401796547976
19.199999999999967,3071.9999999999945,47.33395107839977,3024.6660489215947
19.29999999999997,3087.999999999995,48.07740279838103,3039.922597201614
19.399999999999967,3103.9999999999945,48.82859873744976,3055.171401262545
19.499999999999964,3119.9999999999945,49.58757902109349,3070.412420978901
