alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,dCL_da,CL_3D,CL/CD,CD2/CL3,CL3/CD2
-15.75,-1.3388,0.2232318808062289,0.0115,-0.0718,1.0,0.0182,0.03100000000000014,-1.043123047785421,-4.672822914084028,-0.043904174213900686,-22.77687754991155
-15.5,-1.3305,0.22263569961691992,0.01085,-0.0703,1.0,0.0185,0.034600000000000186,-1.0366561212119083,-4.656288829669455,-0.04449236178851584,-22.47576797009044
-15.25,-1.3215,0.22199342786811396,0.01032,-0.0685,1.0,0.0188,0.035600000000000076,-1.0296437911924363,-4.638172404834194,-0.04514599400590966,-22.150359561672268
-15.0,-1.3127,0.2213696439013719,0.0099,-0.0663,1.0,0.0191,0.030199999999999783,-1.022787290728953,-4.6202689433996715,-0.04580154884252822,-21.833322786487685
-14.75,-1.3064,0.22092563117282427,0.00957,-0.0633,1.0,0.0194,0.02400000000000002,-1.0178786597153229,-4.6073362077171724,-0.04628115417587777,-21.607067019111003
-14.5,-1.3007,0.22052574596857683,0.00932,-0.0599,1.0,0.0196,0.028799999999999937,-1.0134375173696573,-4.595551929406302,-0.04672267144128913,-21.402885775839724
-14.25,-1.292,0.2199187660674865,0.00906,-0.0569,1.0,0.0199,0.04859999999999998,-1.0066589316841679,-4.577412604139723,-0.047410826521964516,-21.09222878737875
-14.0,-1.2764,0.21884058910040605,0.00875,-0.0553,0.9994,0.0203,0.0828000000000002,-0.9945042263170836,-4.544423090822498,-0.04868956014009692,-20.538283712620316
-13.75,-1.2506,0.2170861926575453,0.00837,-0.0556,0.9978,0.0207,0.10440000000000005,-0.9744022135945978,-4.488549924184827,-0.05093890653507634,-19.63135976056737
-13.5,-1.2242,0.215328079498833,0.00801,-0.056,0.996,0.021,0.10559999999999992,-0.9538327122041473,-4.429671756810132,-0.05342994114363029,-18.71609772714893
-13.25,-1.1978,0.2136074757852395,0.00759,-0.0565,0.9943,0.0216,0.10820000000000007,-0.9332632108136969,-4.369056875855776,-0.05613328480920394,-17.814742240704113
-13.0,-1.1701,0.2118424708795192,0.00722,-0.0571,0.9928,0.0222,0.11299999999999999,-0.9116808173093226,-4.3035790392938775,-0.05922398357044366,-16.885051286875278
-12.75,-1.1413,0.2100511623785358,0.00688,-0.0579,0.9916,0.0229,0.11299999999999999,-0.889241361247013,-4.2334512752874,-0.06274674677272186,-15.937081226253053
-12.5,-1.1136,0.2083703863483366,0.00657,-0.0584,0.9897,0.0235,0.10840000000000005,-0.8676589677426388,-4.1640224551494445,-0.06646986771875643,-15.044410863447839
-12.25,-1.0871,0.20680107358244393,0.0063,-0.0585,0.9866,0.024,0.10739999999999972,-0.8470115515741942,-4.095779276680215,-0.07037810650630166,-14.208964259509594
-12.0,-1.0599,0.20522961210701796,0.006,-0.0588,0.9837,0.0246,0.11059999999999981,-0.8258187319597907,-4.023877078368026,-0.0747869564638042,-13.371315631543121
-11.75,-1.0318,0.2036479689506134,0.00569,-0.0593,0.981,0.0254,0.11120000000000019,-0.80392467934344,-3.9476194311488544,-0.07982043364861278,-12.52812036078658
-11.5,-1.0043,0.20214124189082822,0.00543,-0.0595,0.978,0.0262,0.1050000000000002,-0.7824981153950541,-3.8710463440096166,-0.08528250695527559,-11.725734100715714
-11.25,-0.9793,0.20080680850624277,0.0052,-0.0592,0.9729,0.0269,0.10419999999999985,-0.7630194208965214,-3.799768676034709,-0.09077162105995853,-11.01665904302246
