alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
13.750,1.5015,0.02329,0.01740,-0.0137,0.0370,1.0000
14.000,1.5104,0.02451,0.01864,-0.0122,0.0355,1.0000
14.250,1.5235,0.02547,0.01965,-0.0111,0.0347,1.0000
14.500,1.5347,0.02660,0.02083,-0.0100,0.0336,1.0000
14.750,1.5438,0.02793,0.02219,-0.0089,0.0326,1.0000
15.000,1.5504,0.02951,0.02380,-0.0078,0.0316,1.0000
15.250,1.5579,0.03108,0.02543,-0.0068,0.0308,1.0000
15.500,1.5670,0.03256,0.02697,-0.0061,0.0301,1.0000
15.750,1.5740,0.03425,0.02871,-0.0054,0.0293,1.0000
16.000,1.5791,0.03618,0.03069,-0.0047,0.0286,1.0000
16.250,1.5819,0.03840,0.03296,-0.0041,0.0278,1.0000
16.500,1.5807,0.04111,0.03573,-0.0037,0.0271,1.0000
16.750,1.5860,0.04322,0.03792,-0.0034,0.0267,1.0000
17.000,1.5894,0.04559,0.04036,-0.0033,0.0263,1.0000
17.250,1.5913,0.04820,0.04305,-0.0033,0.0258,1.0000
17.500,1.5911,0.05108,0.04599,-0.0034,0.0253,1.0000
17.750,1.5890,0.05424,0.04922,-0.0037,0.0248,1.0000
18.000,1.5849,0.05772,0.05277,-0.0041,0.0244,1.0000
18.250,1.5780,0.06162,0.05675,-0.0047,0.0240,1.0000
18.500,1.5659,0.06625,0.06147,-0.0056,0.0235,1.0000
18.750,1.5624,0.06984,0.06515,-0.0063,0.0233,1.0000
19.000,1.5579,0.07361,0.06901,-0.0072,0.0230,1.0000
19.250,1.5519,0.07764,0.07313,-0.0082,0.0228,1.0000
