alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
15.000,1.5224,0.03199,0.02619,-0.0062,0.0344,1.0000
15.250,1.5298,0.03364,0.02790,-0.0054,0.0335,1.0000
15.500,1.5351,0.03553,0.02984,-0.0047,0.0326,1.0000
15.750,1.5372,0.03780,0.03216,-0.0041,0.0318,1.0000
16.000,1.5374,0.04035,0.03478,-0.0036,0.0310,1.0000
16.250,1.5430,0.04242,0.03692,-0.0033,0.0304,1.0000
16.500,1.5469,0.04472,0.03930,-0.0031,0.0297,1.0000
16.750,1.5488,0.04731,0.04196,-0.0031,0.0291,1.0000
17.000,1.5487,0.05018,0.04490,-0.0032,0.0285,1.0000
17.250,1.5453,0.05349,0.04827,-0.0034,0.0280,1.0000
17.500,1.5380,0.05737,0.05223,-0.0039,0.0274,1.0000
17.750,1.5317,0.06123,0.05618,-0.0045,0.0270,1.0000
18.000,1.5300,0.06454,0.05958,-0.0050,0.0266,1.0000
18.250,1.5263,0.06816,0.06329,-0.0057,0.0263,1.0000
18.500,1.5214,0.07200,0.06723,-0.0066,0.0259,1.0000
18.750,1.5152,0.07606,0.07137,-0.0076,0.0255,1.0000
19.000,1.5074,0.08037,0.07577,-0.0087,0.0252,1.0000
19.250,1.4980,0.08495,0.08044,-0.0100,0.0249,1.0000
